Date Time,use [kW],gen [kW],Heater [KW],Office [kW],AC [kW],Motor pump [kW],Solar [kW],temperature,humidity,windSpeed
1574274600,0.922889855,0.004477681,0.021694348,0.441638985,0.12415,0.03135,0.003483333,16.00046061,0.49,7.2
1574274601,0.927496563,0.004150344,0.021400344,0.44338299,0.124,0.0315,0.003466667,16.0007826,0.49,7.8
1574274602,0.930051907,0.003643143,0.020876476,0.445890191,0.123533333,0.031516667,0.003466667,16.00079417,0.49,8.8
1574274603,1.01239471,0.004448862,0.107865529,0.445617804,0.123133333,0.0315,0.003483333,16.0010553,0.49,7.2
1574274604,1.13369994,0.004036673,0.237503339,0.445963327,0.12285,0.0315,0.003466667,16.00120787,0.49,8
1574274605,1.387584699,0.00386153,0.503678197,0.446605136,0.1223,0.03145,0.003433333,16.00131715,0.49,8.3
1574274606,1.359764978,0.004095169,0.500045169,0.442621498,0.12205,0.03155,0.00345,16.00186299,0.49,7.9
1574274607,1.430298444,0.003576823,0.478026823,0.444123177,0.1218,0.031733333,0.003416667,16.00234893,0.49,8.9
1574274608,1.626917928,0.003454874,0.447688207,0.44142846,0.121616667,0.031766667,0.003416667,16.00244183,0.49,9.1
1574274609,1.727044179,0.004250582,0.172383915,0.437899418,0.121633333,0.031666667,0.003416667,16.00245898,0.49,7.5
1574274610,1.583999572,0.003525043,0.022208376,0.440091624,0.12145,0.031666667,0.003416667,16.00268535,0.49,9
1574274611,1.50080079,0.004384921,0.022918255,0.435998412,0.12125,0.03175,0.003433333,16.00294414,0.49,7.3
1574274612,1.45170192,0.004266475,0.022699808,0.439133525,0.121033333,0.031783333,0.00345,16.00313456,0.49,7.5
1574274613,0.830604185,0.004431248,0.021947915,0.443785418,0.035016667,0.031783333,0.003433333,16.00318401,0.49,7.2
1574274614,0.701706871,0.003582646,0.020882646,0.44368402,0.004783333,0.03175,0.003433333,16.00331974,0.49,8.9
1574274615,0.56311034,0.004327299,0.021527299,0.306906034,0.004916667,0.031733333,0.00345,16.00338058,0.49,7.4
1574274616,0.483750621,0.003648271,0.020814938,0.220251729,0.004983333,0.031833333,0.00345,16.003659,0.49,8.8
1574274617,0.514020743,0.004347925,0.021547925,0.259135408,0.00495,0.03185,0.003433333,16.00367104,0.49,7.4
1574274618,0.528616372,0.004208363,0.021441696,0.271308304,0.00495,0.031866667,0.00345,16.00372085,0.49,7.7
1574274619,0.532295801,0.00363542,0.020852087,0.269881247,0.00495,0.0319,0.00345,16.00383013,0.49,8.8
1574274620,0.528441796,0.003987487,0.02117082,0.269495846,0.00495,0.031816667,0.00345,16.00401335,0.49,8.1
1574274621,0.519191825,0.003894151,0.020994151,0.259372516,0.00495,0.031733333,0.00345,16.00404578,0.49,8.3
1574274622,0.575270396,0.003614627,0.020881293,0.25680204,0.004983333,0.031683333,0.003416667,16.00436592,0.49,8.8
1574274623,0.676944718,0.003695528,0.021128862,0.256837805,0.005016667,0.031716667,0.003433333,16.00563827,0.49,8.7
1574274624,1.290707869,0.00364588,0.107679213,0.25385412,0.0052,0.031566667,0.0034,16.00567266,0.49,8.7
1574274625,1.537420318,0.004357968,0.221491302,0.253008698,0.00555,0.031066667,0.003433333,16.00600161,0.49,7.3
1574274626,1.817644919,0.003887175,0.497120508,0.254062825,0.004916667,0.030966667,0.003416667,16.00683982,0.49,8.2
1574274627,2.63591186,0.002693814,0.499410481,0.254872852,0.004566667,0.088066667,0.002033333,16.00690997,0.49,7.9
1574274628,1.739100883,0.003158245,0.494474912,0.255791755,0.00475,0.113516667,0.003133333,16.00699523,0.49,9.1
1574274629,1.182726314,0.003530702,0.454264036,0.255585964,0.004566667,0.031766667,0.003083333,16.00704453,0.49,8.3
1574274630,1.181067839,0.004071549,0.388388216,0.255878451,0.004933333,0.03175,0.003083333,16.00803963,0.49,7.2
1574274631,0.828079221,0.003567078,0.021150411,0.254082922,0.004816667,0.03175,0.003066667,16.00814525,0.49,8.2
1574274632,0.829389514,0.003556049,0.021106049,0.256060618,0.004816667,0.031733333,0.003066667,16.00858608,0.49,8.2
1574274633,0.836552351,0.003454765,0.020988098,0.255628569,0.004816667,0.031683333,0.003066667,16.00881912,0.49,8.4
1574274634,0.86325253,0.00369808,0.02119808,0.255535253,0.004816667,0.031833333,0.00305,16.00905435,0.49,7.9
1574274635,0.845515947,0.003886739,0.021403406,0.254463261,0.005216667,0.03175,0.00305,16.00907995,0.49,7.5
1574274636,0.846397338,0.003353599,0.020870266,0.256413067,0.004816667,0.0318,0.003083333,16.00919455,0.49,8.6
1574274637,1.011742361,0.003209097,0.02109243,0.254040903,0.004883333,0.0317,0.00305,16.00953078,0.49,8.9
1574274638,1.315765861,0.003046747,0.021413414,0.247786586,0.004983333,0.086216667,0.003033333,16.0096833,0.49,9.2
1574274639,1.646176793,0.003883987,0.02286732,0.237016013,0.005116667,0.119366667,0.00305,16.00985663,0.49,7.5
1574274640,1.57659846,0.003615154,0.022598487,0.241884846,0.00555,0.031666667,0.003066667,16.0101894,0.49,8.1
1574274641,1.439824138,0.003259253,0.021959253,0.24667408,0.005133333,0.03155,0.0032,16.01030357,0.49,9.1
1574274642,1.413292978,0.003905702,0.022639035,0.201577631,0.005133333,0.0316,0.00305,16.01071334,0.49,7.5
1574274643,0.723431042,0.003926896,0.021610229,0.042456437,0.0408,0.031883333,0.00305,16.01116231,0.49,7.4
1574274644,0.520540638,0.00363427,0.08713427,0.04311573,0.005,0.03185,0.003366667,16.01132115,0.49,8.6
1574274645,0.508507922,0.003374208,0.064807541,0.043359125,0.005,0.03185,0.00335,16.01148096,0.49,9.1
1574274646,0.613391459,0.00335252,0.119669187,0.04339748,0.00495,0.03415,0.003333333,16.01150746,0.49,9.1
