Date Time,use [kW],gen [kW],Heater [KW],Office [kW],AC [kW],Motor pump [kW],Solar [kW],temperature,humidity,windSpeed
1574274660,0.458008392,0.004162494,0.065212494,0.042537506,0.005016667,0.0318,0.00345,16.013794,0.48,6.9
1574274661,0.510270234,0.003682977,0.111599643,0.04303369,0.004966667,0.031816667,0.003416667,16.01426946,0.48,7.8
1574274662,0.65097216,0.003447784,0.11461445,0.043252216,0.114166667,0.0318,0.003416667,16.01446302,0.48,8.2
1574274663,0.702517707,0.004226562,0.142843229,0.042490104,0.1407,0.031816667,0.003433333,16.01458084,0.48,6.7
1574274664,1.190129208,0.003955413,0.50312208,0.043044587,0.137516667,0.031716667,0.0034,16.01458534,0.48,7.2
1574274665,1.178462643,0.004063735,0.470897069,0.042919598,0.14055,0.03175,0.003433333,16.0147121,0.48,7
1574274666,1.154847793,0.003675221,0.449591887,0.043524779,0.136216667,0.03165,0.003416667,16.01523605,0.48,7.8
1574274667,0.807134075,0.004264926,0.096298259,0.042901741,0.136283333,0.03165,0.003416667,16.01558405,0.48,6.6
1574274668,0.613754974,0.003962836,0.021212836,0.042970497,0.135716667,0.031733333,0.003433333,16.01561311,0.48,7.2
1574274669,0.747827005,0.004050633,0.021550633,0.042532701,0.135466667,0.031833333,0.003416667,16.01568204,0.48,7
1574274670,1.033472695,0.004281064,0.022181064,0.042285603,0.13515,0.03155,0.003416667,16.0158478,0.48,6.6
1574274671,1.31560324,0.004293009,0.022676342,0.041723658,0.134766667,0.031666667,0.0034,16.01610068,0.48,6.5
1574274672,1.357582723,0.003605061,0.062271727,0.042444939,0.1343,0.031633333,0.003416667,16.01630892,0.48,7.9
1574274673,1.307617655,0.003951568,0.097284902,0.042065098,0.13045,0.03155,0.003383333,16.01632306,0.48,7.2
1574274674,1.596444254,0.004057241,0.450507241,0.042492759,0.12815,0.031383333,0.003383333,16.01632702,0.48,6.9
1574274675,1.201617275,0.004114939,0.496831606,0.042751728,0.126666667,0.12705,0.0034,16.01637471,0.48,6.9
1574274676,1.068880308,0.003751969,0.494918636,0.043131364,0.125683333,0.07765,0.003383333,16.01659169,0.48,7.6
1574274677,1.02537994,0.003725339,0.493292006,0.043174661,0.1253,0.031683333,0.003433333,16.01726336,0.48,7.7
1574274678,1.023824629,0.003524203,0.491807537,0.043342463,0.124933333,0.03175,0.003383333,16.01738063,0.48,8
1574274679,1.02231841,0.003771493,0.491471493,0.043145174,0.124283333,0.03175,0.003416667,16.01740212,0.48,7.6
1574274680,1.088395655,0.004097101,0.457113768,0.042769565,0.123783333,0.1515,0.003383333,16.01766185,0.48,6.9
1574274681,0.998641712,0.003420829,0.434620829,0.043379171,0.123433333,0.064383333,0.0034,16.01816939,0.48,8.2
1574274682,0.578215481,0.003985119,0.037885119,0.042581548,0.12375,0.031783333,0.0034,16.01853217,0.48,7.1
1574274683,0.56071135,0.004173865,0.021257199,0.042459468,0.123483333,0.031816667,0.003433333,16.01863262,0.48,6.8
1574274684,0.591547491,0.003465251,0.020631918,0.043101416,0.123,0.031766667,0.0034,16.0187873,0.48,8.2
